Date,Sales
2022-01-01,204.70706609486948
2022-01-02,198.086774574877
2022-01-03,190.39495470086285
2022-01-04,194.2400290013745
2022-01-05,196.7871534853794
2022-01-06,216.00950716339682
2022-01-07,223.36235640883282
2022-01-08,211.456163651951
2022-01-09,218.48683457348415
2022-01-10,215.8983403274372
2022-01-11,175.84149316669374
2022-01-12,220.6910156999274
2022-01-13,219.8178950422752
2022-01-14,192.66937051374396
2022-01-15,208.58430756866403
2022-01-16,208.3079210759539
2022-01-17,202.12351163721448
2022-01-18,205.6456788914275
2022-01-19,215.13650634691618
2022-01-20,215.48156017944012
2022-01-21,217.78820179742465
2022-01-22,215.43074528546535
2022-01-23,200.58645034926795
2022-01-24,213.26512794280418
2022-01-25,190.37042359452147
2022-01-26,193.1547190057616
2022-01-27,203.6694145922135
2022-01-28,223.5348853410033
2022-01-29,207.17580180144535
2022-01-30,220.85903627581249
2022-01-31,195.24796230496884
2022-02-01,210.94379899602845
2022-02-02,199.6308729602702
2022-02-03,178.01436570741444
2022-02-04,214.9223389728706
2022-02-05,200.16959925333856
2022-02-06,183.45055478807654
2022-02-07,173.49857376129717
2022-02-08,204.6300143127222
2022-02-09,202.79876987480466
2022-02-10,198.4143154818846
2022-02-11,203.90641488485173
2022-02-12,202.68241381131568
2022-02-13,191.40272918243784
2022-02-14,185.4443611214163
2022-02-15,187.2569434607797
2022-02-16,199.35175292090676
2022-02-17,200.3248441806086
2022-02-18,179.63711500037033
2022-02-19,187.63014216090366
2022-02-20,182.23644495925632
2022-02-21,180.8931726763562
2022-02-22,196.34305161847357
2022-02-23,190.19486762163046
2022-02-24,164.75506789897565
2022-02-25,203.08921472590737
2022-02-26,224.80491513079573
2022-02-27,202.45568469088425
2022-02-28,203.55068411959482
2022-03-01,181.6035273473837
2022-03-02,189.57072048062696
2022-03-03,218.56514204730303
2022-03-04,202.10977376442563
2022-03-05,188.22750983596785
2022-03-06,220.81793033161125
2022-03-07,214.78159486600904
2022-03-08,198.1467970972809
2022-03-09,197.9799660387672
2022-03-10,192.46218301102664
2022-03-11,206.36517261533032
2022-03-12,234.94210970457993
2022-03-13,212.65306405603607
2022-03-14,210.67065449775896
2022-03-15,193.02250491455078
2022-03-16,224.00558645070208
2022-03-17,196.51303392510337
2022-03-18,220.6728514372739
2022-03-19,192.72487469439426
2022-03-20,197.1414169715148
2022-03-21,198.71954228788164
2022-03-22,203.0733877255021
2022-03-23,209.17122748138337
2022-03-24,196.0326701033657
2022-03-25,218.8646805372328
2022-03-26,202.82982038266482
2022-03-27,206.4421811689808
2022-03-28,212.76276497730697
2022-03-29,227.92078466803127
2022-03-30,195.4615801130461
2022-03-31,210.42511631631754
2022-04-01,214.90588389815215
2022-04-02,192.72044542088463
